</S>       </s rsh 
PORTŮ       p o r t uu 
PORUBA       p o r u b a 
PORUBOU       p o r u b ow 
PORUBY       p o r u b i 
PORUBĚ       p o r u b j e 
PORUCHA       p o r u x a 
PORUČ       p o r u ch 
PORUČIT       p o r u ch i t 
PORUŠOVÁNÍ       p o r u sh o v aa nj ii 
PORÁD       p o r aa t 
POSADILA       p o s a dj i l a 
POSBÍRAL       p o z b ii r a l 
POSBÍRAT       p o z b ii r a t 
POSCHODÍ       p o s x o dj ii 
POSEDIM       p o s e dj i m 
POSEDÍM       p o s e dj ii m 
POSEDĚT       p o s e dj e t 
POSEKALI       p o s e k a l i 
POSILUJE       p o s i l u j e 
POSKYTUJE       p o s k i t u j e 
POSLAL       p o s l a l 
POSLALA       p o s l a l a 
POSLALI       p o s l a l i 
POSLANCE       p o s l a n c e 
POSLANCI       p o s l a n c i 
POSLANEC       p o s l a n e c 
POSLAT       p o s l a t 
POSLAŤ       p o s l a tj 
POSLECHL       p o s l e x l 
POSLECHNOUT       p o s l e x n ow t 
POSLEDNÍ       p o s l e d nj ii 
POSLEDNÍCH       p o s l e d nj ii x 
POSLEDNÍHO       p o s l e d nj ii h o 
POSLEDNÍM       p o s l e d nj ii m 
POSLEDNĚ       p o s l e d nj e 
POSLOUCHAL       p o s l ow x a l 
POSLOUCHAM       p o s l ow x a m 
POSLOUCHAT       p o s l ow x a t 
POSLOUCHEJ       p o s l ow x e j 
POSLOUCHHEJ       p o s l ow h h e j 
POSLOUCHÁ       p o s l ow x aa 
POSLOUCHÁM       p o s l ow x aa m 
POSLOUCHÁŠ       p o s l ow x aa sh 
POSLUCHAČE       p o s l u x a ch e 
POSLUCHEJ       p o s l u x e j 
POSLÁNÍ       p o s l aa nj ii 
POSLŮCHEJ       p o s l uu x e j 
POSOUDIT       p o s ow dj i t 
POSPAL       p o s p a l 
POSRAL       p o s r a l 
POSTARAJ       p o s t a r a j 
POSTARAJÍ       p o s t a r a j ii 
POSTARAT       p o s t a r a t 
POSTARÁ       p o s t a r aa 
POSTAVEN       p o s t a v e n 
POSTAVENI       p o s t a v e nj i 
POSTAVENOU       p o s t a v e n ow 
POSTAVENÝ       p o s t a v e n ii 
POSTAVU       p o s t a v u 
POSTAVÍ       p o s t a v ii 
POSTAČUJE       p o s t a ch u j e 
POSTEL       p o s t e l 
POSTELE       p o s t e l e 
POSTELI       p o s t e l i 
POSTELOVÝ       p o s t e l o v ii 
POSTELÍ       p o s t e l ii 
POSTELÍCH       p o s t e l ii x 
POSTIHLA       p o s tj i h l a 
POSTIHU       p o s tj i h u 
POSTIHUJE       p o s tj i h u j e 
POSTIHŮ       p o s tj i h uu 
POSTIŽENEJ       p o s tj i zh e n e j 
POSTIŽENÉ       p o s tj i zh e n ee 
POSTOJ       p o s t o j 
POSTRÁNECKÝ       p o s t r aa n e c k ii 
POSTUP       p o s t u p 
POSTUPNĚ       p o s t u p nj e 
POSTUPONĚ       p o s t u p o nj e 
POSTÁTNĚNÉ       p o s t aa t nj e n ee 
POSTÝLCE       p o s t ii l c e 
POSTĚ       p o s tj e 
POSUDKOVOU       p o s u t k o v ow 
POSUDKOVÝCH       p o s u t k o v ii x 
POSUDKY       p o s u t k i 
POSUN       p o s u n 
POSUNUL       p o s u n u l 
POSUNULO       p o s u n u l o 
POSÍLALI       p o s ii l a l i 
POSÍLAM       p o s ii l a m 
POSÍLAT       p o s ii l a t 
POSÍLÁ       p o s ii l aa 
POSÍLÁM       p o s ii l aa m 
POTAH       p o t a x 
POTAHEM       p o t a h e m 
POTICHU       p o tj i x u 
POTKAL       p o t k a l 
POTKALA       p o t k a l a 
POTKALI       p o t k a l i 
POTKALY       p o t k a l i 
POTKÁM       p o t k aa m 
POTKÁME       p o t k aa m e 
POTKÁVALA       p o t k aa v a l a 
POTKÁVÁM       p o t k aa v aa m 
POTKÁŠ       p o t k aa sh 
POTOK       p o t o k 
POTOM       p o t o m 
POTOMTO       p o t o m t o 
POTRAVINY       p o t r a v i n i 
POTRUBÍ       p o t r u b ii 
POTRVÁ       p o t r v aa 
POTTER       p o t e r 
POTVRDIL       p o t v r dj i l 
POTVRDILA       p o t v r dj i l a 
POTVRDILI       p o t v r dj i l i 
POTVRDIT       p o t v r dj i t 
POTVRZENÉ       p o t v r z e n ee 
POTVRZENÍ       p o t v r z e nj ii 
POTVRZUJE       p o t v r z u j e 
POTVRZUJEME       p o t v r z u j e m e 
POTVRZUJI       p o t v r z u j i 
POTVRZUJOU       p o t v r z u j ow 
POTÁHNI       p o t aa h nj i 
POTÁHNU       p o t aa h n u 
POTÉ       p o t ee 
POTÍŽE       p o tj ii zh e 
POTĚŠEN       p o tj e sh e n 
POTĚŠÍ       p o tj e sh ii 
POTŘEB       p o t rsh e p 
POTŘEBA       p o t rsh e b a 
POTŘEBOVAL       p o t rsh e b o v a l 
POTŘEBOVALA       p o t rsh e b o v a l a 
POTŘEBOVALI       p o t rsh e b o v a l i 
POTŘEBOVALY       p o t rsh e b o v a l i 
POTŘEBOVAT       p o t rsh e b o v a t 
POTŘEBU       p o t rsh e b u 
POTŘEBUJE       p o t rsh e b u j e 
POTŘEBUJEME       p o t rsh e b u j e m e 
POTŘEBUJETE       p o t rsh e b u j e t e 
POTŘEBUJEŠ       p o t rsh e b u j e sh 
POTŘEBUJI       p o t rsh e b u j i 
POTŘEBUJOU       p o t rsh e b u j ow 
POTŘEBUJU       p o t rsh e b u j u 
POTŘEBUJÍ       p o t rsh e b u j ii 
POTŘEBY       p o t rsh e b i 
POTŘEBÍ       p o t rsh e b ii 
POTŮČKY       p o t uu ch k i 
POUHÉ       p ow h ee 
POUPRAVILA       p ow p r a v i l a 
POUTKO       p ow t k o 
POUZE       p ow z e 
POUČIT       p ow ch i t 
POUŠTEJ       p ow sh t e j 
POUŠTĚJ       p ow sh tj e j 
POUŠTĚT       p ow sh tj e t 
POUŤ       p ow tj 
POUŽIJE       p ow zh i j e 
POUŽIJÍ       p ow zh i j ii 
POUŽIL       p ow zh i l 
POUŽILY       p ow zh i l i 
POUŽITÍ       p ow zh i tj ii 
POUŽÍT       p ow zh ii t 
POUŽÍTAT       p ow zh ii t a t 
POUŽÍVAJ       p ow zh ii v a j 
POUŽÍVALA       p ow zh ii v a l a 
POUŽÍVAM       p ow zh ii v a m 
POUŽÍVAT       p ow zh ii v a t 
POUŽÍVEJTE       p ow zh ii v e j t e 
POUŽÍVÁ       p ow zh ii v aa 
POUŽÍVÁME       p ow zh ii v aa m e 
POUŽÍVÁNÍ       p ow zh ii v aa nj ii 
POVAZE       p o v a z e 
POVAŘÍŠ       p o v a rzh ii sh 
POVAŽUJE       p o v a zh u j e 
POVEDE       p o v e d e 
POVEDLO       p o v e d l o 
POVEZE       p o v e z e 
POVEZENÍ       p o v e z e nj ii 
POVEZEŠ       p o v e z e sh 
POVIDAT       p o v i d a t 
POVIDÁ       p o v i d aa 
POVIM       p o v i m 
POVINEN       p o v i n e n 
POVINNOST       p o v i n o s t 
POVLEKŮ       p o v l e k uu 
POVLEČENÍ       p o v l e ch e nj ii 
POVODEŇ       p o v o d e nj 
POVOLENÍ       p o v o l e nj ii 
POVOLIL       p o v o l i l 
POVOLILA       p o v o l i l a 
POVRCH       p o v r x 
POVRCHOVÁ       p o v r x o v aa 
POVRCHU       p o v r x u 
POVSTÁNÍ       p o f s t aa nj ii 
POVYKLÁDALA       p o v i k l aa d a l a 
POVYKLÁDALI       p o v i k l aa d a l i 
POVYKLÁDÁME       p o v i k l aa d aa m e 
POVYKLÁDÁŠ       p o v i k l aa d aa sh 
POVÍDAJ       p o v ii d a j 
POVÍDAL       p o v ii d a l 
POVÍDALA       p o v ii d a l a 
POVÍDALI       p o v ii d a l i 
POVÍDALY       p o v ii d a l i 
POVÍDAM       p o v ii d a m 
POVÍDAT       p o v ii d a t 
POVÍDEJ       p o v ii d e j 
POVÍDÁ       p o v ii d aa 
POVÍDÁME       p o v ii d aa m e 
POVÍDÁNÍ       p o v ii d aa nj ii 
POVÍDÁTE       p o v ii d aa t e 
POVÍM       p o v ii m 
POVÍME       p o v ii m e 
POVÝŠEN       p o v ii sh e n 
POVÝŠENĚ       p o v ii sh e nj e 
POVĚDĚLY       p o v j e dj e l i 
POVĚDĚT       p o v j e dj e t 
POVĚSIL       p o v j e s i l 
POVĚSTNÉ       p o v j e s t n ee 
POVĚZ       p o v j e s 
POVĚŘEN       p o v j e rzh e n 
POVĚŘENA       p o v j e rzh e n a 
POZADÍ       p o z a dj ii 
POZDARAV       p o z d a r a f 
POZDNÍ       p o z d nj ii 
POZDNÍHO       p o z d nj ii h o 
POZDRAV       p o z d r a f 
POZDRAVI       p o z d r a v i 
POZDRAVIL       p o z d r a v i l 
POZDRAVIM       p o z d r a v i m 
POZDRAVIT       p o z d r a v i t 
POZDRAVOVAT       p o z d r a v o v a t 
POZDRAVUJ       p o z d r a v u j 
POZDRAVUJE       p o z d r a v u j e 
POZDRAVUJEM       p o z d r a v u j e m 
POZDRAVY       p o z d r a v i 
POZDRAVÍM       p o z d r a v ii m 
POZDRAVÍŠ       p o z d r a v ii sh 
POZDĚ       p o z dj e 
POZDĚJ       p o z dj e j 
POZDĚJC       p o z dj e j c 
POZDĚJI       p o z dj e j i 
POZDĚJŠ       p o z dj e j sh 
POZDĚJŠIM       p o z dj e j sh i m 
POZDĚJŠÍ       p o z dj e j sh ii 
POZEJTŘÍ       p o z e j t rsh ii 
POZICE       p o z i c e 
POZICI       p o z i c i 
POZITIVNÍ       p o z i tj i v nj ii 
POZNAJÍ       p o z n a j ii 
POZNALA       p o z n a l a 
POZNAT       p o z n a t 
POZNAČENÉ       p o z n a ch e n ee 
POZNAČILA       p o z n a ch i l a 
POZNÁ       p o z n aa 
POZNÁM       p o z n aa m 
POZNÁMKY       p o z n aa m k i 
POZNÁNÍ       p o z n aa nj ii 
POZNÁVAM       p o z n aa v a m 
POZNÁVÁME       p o z n aa v aa m e 
POZNÁVÁNÍ       p o z n aa v aa nj ii 
POZNÁŠ       p o z n aa sh 
POZOBALA       p o z o b a l a 
POZOBAT       p o z o b a t 
POZOBU       p o z o b u 
POZOR       p o z o r 
POZORNOST       p o z o r n o s t 
POZORNĚ       p o z o r nj e 
POZOROVÁNÍ       p o z o r o v aa nj ii 
POZORUHODNĚ       p o z o r u h o d nj e 
POZRAVIM       p o z r a v i m 
POZRAVUJE       p o z r a v u j e 
POZVALA       p o z v a l a 
POZVALI       p o z v a l i 
POZVANÁ       p o z v a n aa 
POZVAT       p o z v a t 
POZVI       p o z v i 
POZVU       p o z v u 
POZÍTŘÍ       p o z ii t rsh ii 
POZŮSTALÝCH       p o z uu s t a l ii x 
POZŮSTATKY       p o z uu s t a t k i 
POČASÍ       p o ch a s ii 
POČEST       p o ch e s t 
POČET       p o ch e t 
POČITALA       p o ch i t a l a 
POČKAJ       p o ch k a j 
POČKAT       p o ch k a t 
POČKEJ       p o ch k e j 
POČKÁ       p o ch k aa 
POČKÁM       p o ch k aa m 
POČKÁME       p o ch k aa m e 
POČKÁŠ       p o ch k aa sh 
POČMÁRAJ       p o ch m aa r a j 
POČTU       p o ch t u 
POČÁTEK       p o ch aa t e k 
POČÍTAJÍ       p o ch ii t a j ii 
POČÍTAL       p o ch ii t a l 
POČÍTALA       p o ch ii t a l a 
POČÍTALI       p o ch ii t a l i 
POČÍTAM       p o ch ii t a m 
POČÍTAT       p o ch ii t a t 
POČÍTAČ       p o ch ii t a ch 
POČÍTAČE       p o ch ii t a ch e 
POČÍTAČEM       p o ch ii t a ch e m 
POČÍTAČI       p o ch ii t a ch i 
POČÍTEJ       p o ch ii t e j 
POČÍTÁ       p o ch ii t aa 
POČÍTÁM       p o ch ii t aa m 
POČÍTÁŠ       p o ch ii t aa sh 
POČŮRAL       p o ch uu r a l 
POĎ       p o tj 
POŘAD       p o rzh a t 
POŘIZOVAT       p o rzh i z o v a t 
POŘVÁVALI       p o rzh v aa v a l i 
POŘÁD       p o rzh aa t 
POŘÁDAJÍ       p o rzh aa d a j ii 
POŘÁDEK       p o rzh aa d e k 
POŘÁDKOVÉ       p o rzh aa t k o v ee 
POŘÁDKU       p o rzh aa t k u 
POŘÁDNĚ       p o rzh aa d nj e 
POŘÁDÁ       p o rzh aa d aa 
POŘÍDIL       p o rzh ii dj i l 
POŘÍDÍ       p o rzh ii dj ii 
POŘÍDÍME       p o rzh ii dj ii m e 
POŠKODIL       p o sh k o dj i l 
POŠLE       p o sh l e 
POŠLEME       p o sh l e m e 
POŠLETE       p o sh l e t e 
POŠLI       p o sh l i 
POŠLOU       p o sh l ow 
POŠLU       p o sh l u 
POŠTOU       p o sh t ow 
POŠTÍPANÍ       p o sh tj ii p a nj ii 
POŠTĚ       p o sh tj e 
POŠTĚSTÍ       p o sh tj e s tj ii 
POŽADOVAL       p o zh a d o v a l 
POŽADOVALO       p o zh a d o v a l o 
POŽADOVANÉ       p o zh a d o v a n ee 
POŽEHNÁNÍ       p o zh e h n aa nj ii 
POŽÁDAJÍ       p o zh aa d a j ii 
POŽÁDAT       p o zh aa d a t 
POŽÁDÁ       p o zh aa d aa 
POŽÁREM       p o zh aa r e m 
PRACH       p r a x 
PRACHEM       p r a x e m 
PRACHU       p r a x u 
PRACHY       p r a x i 
PRACHŮ       p r a x uu 
PRACOVAT       p r a c o v a t 
PRACOVNÍ       p r a c o v nj ii 
PRACOVNÍCH       p r a c o v nj ii x 
PRACOVNÍCI       p r a c o v nj ii c i 
PRACOVNÍHO       p r a c o v nj ii h o 
PRACOVNÍKY       p r a c o v nj ii k i 
PRACOVNÍKŮ       p r a c o v nj ii k uu 
PRACOVNĚ       p r a c o v nj e 
PRACUJ       p r a c u j 
PRACUJE       p r a c u j e 
PRACUJEME       p r a c u j e m e 
PRACUJEŠ       p r a c u j e sh 
PRACUJI       p r a c u j i 
PRACUJU       p r a c u j u 
PRACUJÍ       p r a c u j ii 
PRACÍ       p r a c ii 
PRAHA       p r a h a 
PRAHOU       p r a h ow 
PRAHU       p r a h u 
PRAHY       p r a h i 
PRAKTICKY       p r a k t i c k i 
PRAKTICKÝ       p r a k t i c k ii 
PRAMÁLO       p r a m aa l o 
PRAPODIVNÝMI       p r a p o dj i v n ii m i 
PRASATA       p r a s a t a 
PRASE       p r a s e 
PRASKLEJ       p r a s k l e j 
PRASKLOU       p r a s k l ow 
PRASÁTKA       p r a s aa t k a 
PRAVDA       p r a v d a 
PRAVDOU       p r a v d ow 
PRAVDU       p r a v d u 
PRAVDĚPODOBNOSTI       p r a v dj e p o d o b n o s tj i 
PRAVDĚPODOBNÝ       p r a v dj e p o d o b n ii 
PRAVDĚPODOBNĚ       p r a v dj e p o d o b nj e 
PRAVEJ       p r a v e j 
PRAVIDELNÝMI       p r a v i d e l n ii m i 
PRAVIDELNĚ       p r a v i d e l nj e 
PRAVIDLA       p r a v i d l a 
PRAVOMOCI       p r a v o m o c i 
PRAVOU       p r a v ow 
PRAVÁ       p r a v aa 
PRAVÉ       p r a v ee 
PRAVÍTKO       p r a v ii t k o 
PRAVÝHO       p r a v ii h o 
PRAVÝM       p r a v ii m 
PRAXI       p r a k s i 
PRAZE       p r a z e 
PRAZVLÁŠTNÍ       p r a z v l aa sh t nj ii 
PRAČKA       p r a ch k a 
PRAŠTIL       p r a sh tj i l 
PRAŽILO       p r a zh i l o 
PRAŽSKÉHO       p r a sh s k ee h o 
PRAŽSKÝ       p r a sh s k ii 
PRAŽSKÝM       p r a sh s k ii m 
PRCHAJÍCÍCH       p r x a j ii c ii x 
PRCKA       p r c k a 
PRD       p r t 
PRDEL       p r d e l 
PRDELE       p r d e l e 
PRDELKU       p r d e l k u 
PRDIM       p r dj i m 
PRDLEJ       p r d l e j 
PRDY       p r d i 
PRDÍM       p r dj ii m 
PRDĚL       p r dj e l 
PREDNIZOL       p r e d nj i z o l 
PREJ       p r e j 
PREKURZORY       p r e k u r z o r i 
PREMIÉR       p r e m i ee r 
PREMIÉRA       p r e m i ee r a 
PRESTIŽEK       p r e s tj i zh e k 
PRESTIŽKY       p r e s tj i sh k i 
PREVENCE       p r e v e n c e 
PREZENTACE       p r e z e n t a c e 
PREZENTACI       p r e z e n t a c i 
PREZENTACÍ       p r e z e n t a c ii 
PREZENTOVALI       p r e z e n t o v a l i 
PREZENTUJE       p r e z e n t u j e 
PREZIDENT       p r e z i d e n t 
PREZIDENTA       p r e z i d e n t a 
PREZIDIA       p r e z i dj i a 
PREZÍDIA       p r e z ii dj i a 
PRIMA       p r i m a 
PRIMÁTOR       p r i m aa t o r 
PRIMÁTORA       p r i m aa t o r a 
PRIMÁŘ       p r i m aa rsh 
PRIMÁŘE       p r i m aa rzh e 
PRIMÁŘOVI       p r i m aa rzh o v i 
PRINCIPIÁLNÍ       p r i n c i p i aa l nj ii 
PRINCIPU       p r i n c i p u 
PRIVATIZACE       p r i v a t i z a c e 
PRIVATIZACI       p r i v a t i z a c i 
PRIVATIZAČNÍ       p r i v a t i z a ch nj ii 
PRIVATIZOVAT       p r i v a t i z o v a t 
PRIVILEGOVANÝCH       p r i v i l e g o v a n ii x 
PRIZNICOVY       p r i z nj i c o v i 
PRO       p r o 
PROBERTE       p r o b e r t e 
PROBLÉM       p r o b l ee m 
PROBLÉMAMA       p r o b l ee m a m a 
PROBLÉMEM       p r o b l ee m e m 
PROBLÉMU       p r o b l ee m u 
PROBLÉMY       p r o b l ee m i 
PROBLÉMŮ       p r o b l ee m uu 
PROBOHA       p r o b o h a 
PROBUDILA       p r o b u dj i l a 
PROBUDIT       p r o b u dj i t 
PROBUDÍ       p r o b u dj ii 
PROBUZENÍ       p r o b u z e nj ii 
PROBÍHÁ       p r o b ii h aa 
PROBÍRAJ       p r o b ii r a j 
PROBÍRALI       p r o b ii r a l i 
PROBÍRAT       p r o b ii r a t 
PROBĚHLA       p r o b j e h l a 
PROBĚHLY       p r o b j e h l i 
PROCENT       p r o c e n t 
PROCENTA       p r o c e n t a 
PROCENTNÍ       p r o c e n t nj ii 
PROCENTNĚ       p r o c e n t nj e 
PROCENTO       p r o c e n t o 
PROCES       p r o c e s 
PROCESOR       p r o c e s o r 
PROCESU       p r o c e s u 
PROCHODILA       p r o x o dj i l a 
PROCHÁZCE       p r o x aa s c e 
PROCHÁZEL       p r o x aa z e l 
PROCHÁZELI       p r o x aa z e l i 
PRODALI       p r o d a l i 
PRODALO       p r o d a l o 
PRODAT       p r o d a t 
PRODAVAJI       p r o d a v a j i 
PRODAVAČKY       p r o d a v a ch k i 
PRODEJE       p r o d e j e 
PRODEJNY       p r o d e j n i 
PRODISKUTUJU       p r o d i s k u t u j u 
PRODLOUŽENEJ       p r o d l ow zh e n e j 
PRODLOUŽENÉ       p r o d l ow zh e n ee 
PRODLOUŽENÍ       p r o d l ow zh e nj ii 
PRODLOUŽENÝ       p r o d l ow zh e n ii 
PRODLOUŽIT       p r o d l ow zh i t 
PRODLUŽKA       p r o d l u sh k a 
PRODLUŽUJEŠ       p r o d l u zh u j e sh 
PRODLUŽUJÍCÍ       p r o d l u zh u j ii c ii 
PRODUCENTECH       p r o d u c e n t e x 
PRODUKTIVNÍ       p r o d u k t i v nj ii 
PRODUKTU       p r o d u k t u 
PRODÁME       p r o d aa m e 
PRODÁVAJ       p r o d aa v a j 
PRODÁVAJÍCÍ       p r o d aa v a j ii c ii 
PRODÁVALY       p r o d aa v a l i 
PRODÁVAT       p r o d aa v a t 
PRODÁVÁ       p r o d aa v aa 
PROFESE       p r o f e s e 
PROFESOREM       p r o f e s o r e m 
PROGRAM       p r o g r a m 
PROGRAMU       p r o g r a m u 
PROGRAMÁTOROVI       p r o g r a m aa t o r o v i 
PROHER       p r o h e r 
PROHLEDALA       p r o h l e d a l a 
PROHLEDÁVAT       p r o h l e d aa v a t 
PROHLOUBÍ       p r o h l ow b ii 
PROHLÉDNOU       p r o h l ee d n ow 
PROHLÍDKA       p r o h l ii t k a 
PROHLÍDKU       p r o h l ii t k u 
PROHLÍDNOUT       p r o h l ii d n ow t 
PROHLÍŽELI       p r o h l ii zh e l i 
PROHLÍŽET       p r o h l ii zh e t 
PROHLÍŽÍ       p r o h l ii zh ii 
PROHODIL       p r o h o dj i l 
PROHODIT       p r o h o dj i t 
PROHRY       p r o h r i 
PROHRÁLI       p r o h r aa l i 
PROHÝBÁŠ       p r o h ii b aa sh 
PROJDEM       p r o j d e m 
PROJDEŠ       p r o j d e sh 
PROJEDNÁ       p r o j e d n aa 
PROJEDNÁNÍ       p r o j e d n aa nj ii 
PROJEKT       p r o j e k t 
PROJEKTOVÁNÍ       p r o j e k t o v aa nj ii 
PROJEVILA       p r o j e v i l a 
PROJEVILI       p r o j e v i l i 
PROJEVÍ       p r o j e v ii 
PROJÍT       p r o j ii t 
PROKECAL       p r o k e c a l 
PROKLAMOVANÁ       p r o k l a m o v a n aa 
PROKLAMOVÁ       p r o k l a m o v aa 
PROKLOUZLA       p r o k l ow z l a 
PROKURATURA       p r o k u r a t u r a 
PROKÁZAT       p r o k aa z a t 
PROLEJZAČKÁCH       p r o l e j z a ch k aa x 
PROLISTOVANÝ       p r o l i s t o v a n ii 
PROLOMÍ       p r o l o m ii 
PROLÉZT       p r o l ee s t 
PROMINENTŮ       p r o m i n e n t uu 
PROMIŇ       p r o m i nj 
PROMLOUVÁ       p r o m l ow v aa 
PROMOCI       p r o m o c i 
PROMOČENÝ       p r o m o ch e n ii 
PROMRZLÝ       p r o m r z l ii 
PROMÍTAT       p r o m ii t a t 
PROMÍTNE       p r o m ii t n e 
PROMĚNA       p r o m nj e n a 
PRONAJÍMALO       p r o n a j ii m a l o 
PRONAJÍMAT       p r o n a j ii m a t 
PRONESE       p r o n e s e 
PROPADAJ       p r o p a d a j 
PROPADAT       p r o p a d a t 
PROPADNEŠ       p r o p a d n e sh 
PROPAGUJÍ       p r o p a g u j ii 
PROPLÁCET       p r o p l aa c e t 
PROPLÁCHNOUT       p r o p l aa x n ow t 
PROPOJENÉM       p r o p o j e n ee m 
PROPOJÍ       p r o p o j ii 
PROPOUŠTĚLA       p r o p ow sh tj e l a 
PROPOUŠTĚLI       p r o p ow sh tj e l i 
PROPUŠTĚNEJ       p r o p u sh tj e n e j 
PROPÁLIT       p r o p aa l i t 
PROPÁSL       p r o p aa s l 
PRORAZIT       p r o r a z i t 
PROSAZUJE       p r o s a z u j e 
PROSBU       p r o z b u 
PROSEK       p r o s e k 
PROSEKA       p r o s e k a 
PROSEKU       p r o s e k u 
PROSIL       p r o s i l 
PROSILA       p r o s i l a 
PROSIM       p r o s i m 
PROSIMTĚ       p r o s i m tj e 
PROSINCE       p r o s i n c e 
PROSINCI       p r o s i n c i 
PROSIT       p r o s i t 
PROSPĚCH       p r o s p j e x 
PROSTOR       p r o s t o r 
PROSTORU       p r o s t o r u 
PROSTUDOVAT       p r o s t u d o v a t 
PROSTUDOVÁNÍ       p r o s t u d o v aa nj ii 
PROSTÁ       p r o s t aa 
PROSTÉ       p r o s t ee 
PROSTĚ       p r o s tj e 
PROSTĚRADLÁCH       p r o s tj e r a d l aa x 
PROSTŘED       p r o s t rsh e t 
PROSTŘEDKY       p r o s t rsh e t k i 
PROSTŘEDKŮ       p r o s t rsh e t k uu 
PROSTŘEDNÍ       p r o s t rsh e d nj ii 
PROSTŘEDÍ       p r o s t rsh e dj ii 
PROSTŘENO       p r o s t rsh e n o 
PROSYPALA       p r o s i p a l a 
PROSÁKLA       p r o s aa k l a 
PROSÍM       p r o s ii m 
PROTAHOVACÍ       p r o t a h o v a c ii 
PROTAHUJE       p r o t a h u j e 
PROTEKTORÁTU       p r o t e k t o r aa t u 
PROTELEFONOVALA       p r o t e l e f o n o v a l a 
PROTEST       p r o t e s t 
PROTESTANTY       p r o t e s t a n t i 
PROTI       p r o tj i 
PROTIVA       p r o tj i v a 
PROTIVNÁ       p r o tj i v n aa 
PROTIVNÉHO       p r o tj i v n ee h o 
PROTLAČÍ       p r o t l a ch ii 
PROTO       p r o t o 
PROTOS       p r o t o s 
PROTOTIP       p r o t o tj i p 
PROTOTYP       p r o t o t i p 
PROTOŽE       p r o t o zh e 
PROTOŽES       p r o t o zh e s 
PROTÁHLA       p r o t aa h l a 
PROTŘEPÁVAJÍ       p r o t rsh e p aa v a j ii 
PROTŘÍDILA       p r o t rsh ii dj i l a 
PROTŘÍDĚNOU       p r o t rsh ii dj e n ow 
PROUD       p r ow t 
PROUDÍ       p r ow dj ii 
PROUTEK       p r ow t e k 
PROUŽKY       p r ow sh k i 
PROVED       p r o v e t 
PROVEDU       p r o v e d u 
PROVIZORNÍ       p r o v i z o r nj ii 
PROVONĚNYM       p r o v o nj e n i m 
PROVONĚNÝ       p r o v o nj e n ii 
PROVOZ       p r o v o s 
PROVOZOVAT       p r o v o z o v a t 
